The Canadian Embassy in Manila: Re export the 98 (forty footer) container vans filled with m... http://t.co/2gtjMjjKK9 via @ChangePilipinas
#OneDrive is here! It's the one place for everything in your life. Sign up and get 15 GB free. https://t.co/OqfYDfGHDD
"@StandardPH I bought an oven toaster,test it,smoke came out of it,I looked for the manual til I found it inside the toaster. #ToasterJoke"
RT @StandardPH: Ilabas mo na ang best #ToasterJoke mo! You may send entries until July 26. :) http://t.co/MoQq9wC8ou
Merong Pizzang Walang Crust Doon sa KFC https://t.co/sRmBKY0OGW
@KFCPhilippines Merong Pizzang Walang Crust Doon sa KFC.
RT @StarplexCinemas: RE-TWEET to enter to win an #AntMan movie prize pack! Then get advance tixs for this weekend: http://t.co/r4MMXSqhvV h…
@HappykevinR what is it..
"RT @AsianGeekSquad: Our Top 5 Accessories under $45 for June 2015!

Includes: #gaming mouse, #bluetooth #speakers, 64GB #microSD and... htt…"
Grouvi brings group discussions to the next level. Win a free iPhone 6 here! @makeuseof #giveaway https://t.co/B7DnhYMqmp
"Ths Valentine's Day,how far would you go?Win premier tickets to Fifty Shades of Grey! #50ShadesOfGrey #egamescasino https://t.co/lXdXp7uJMc"
"Ths Valentine's Day, how far would you go?Win premier tickets to Fifty Shades of Grey! #50ShadesOfGrey #egamescasino https://t.co/lXdXp7uJMc"
Valentine's Giveaway #2: Ekophone Atlas Dual SIM : Geeky Pinas http://t.co/TSHTja7bNc
Win a new Ekophone Sage Join: http://t.co/wM7TtY6xae #Ekotek #EkophoneSage #GeekyPinas #EnergyFM http://t.co/TSHTja7bNc
Watching Luvs: Luvs - Video on @hulu: http://t.co/A1RvbHtuuL
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
I just entered the #OMGAppleWatch Giveaway to win a free Apple Watch. Take a sec to enter... https://t.co/yJlTW6RXcE via @thenextweb
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Win a 5k Shopping Spree from ZALORA http://t.co/ikDhWDu6O7
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/hEXOJR4NLU &amp; http://t.co/TUJSRsB9uW and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
Follow @SMShoesAndBags &amp; @TheSMStore on FB: http://t.co/DVlXZjzoql &amp; http://t.co/1MxgryDv8W and get a chance to win Prizes! #TheSMStore2015!
